Sample 1
3/1/2023 3:44 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.02000	
//WLCalib: 261S 	-0.34000	
//WLCalib: 362S 	-0.41000	
//WLCalib: 484S 	-0.30000	
//WLCalib: 529S 	-0.12000	
//WLCalib: 823S 	-0.33000	
//QSpecEnd: 
190.0	17.670
190.5	17.211
191.0	16.499
191.5	16.036
192.0	15.582
192.5	15.044
193.0	14.435
193.5	14.156
194.0	13.802
194.5	13.542
195.0	13.434
195.5	13.435
196.0	13.304
196.5	13.246
197.0	13.219
197.5	13.020
198.0	12.753
198.5	12.739
199.0	12.472
199.5	12.275
200.0	12.171
200.5	11.956
201.0	11.822
201.5	11.699
202.0	11.608
202.5	11.557
203.0	11.485
203.5	11.447
204.0	11.295
204.5	11.223
205.0	11.194
205.5	11.032
206.0	10.927
206.5	10.777
207.0	10.586
207.5	10.378
208.0	10.172
208.5	9.887
209.0	9.671
209.5	9.430
210.0	9.292
210.5	9.121
211.0	9.014
211.5	8.943
212.0	8.754
212.5	8.634
213.0	8.458
213.5	8.200
214.0	7.932
214.5	7.554
215.0	7.311
215.5	6.995
216.0	6.667
216.5	6.351
217.0	6.004
217.5	5.707
218.0	5.468
218.5	5.298
219.0	5.109
219.5	4.929
220.0	4.808
220.5	4.628
221.0	4.443
221.5	4.256
222.0	4.007
222.5	3.789
223.0	3.663
223.5	3.471
224.0	3.244
224.5	3.054
225.0	2.864
225.5	2.695
226.0	2.538
226.5	2.360
227.0	2.206
227.5	2.074
228.0	2.000
228.5	1.910
229.0	1.815
229.5	1.746
230.0	1.678
230.5	1.608
231.0	1.526
231.5	1.433
232.0	1.350
232.5	1.267
233.0	1.227
233.5	1.157
234.0	1.075
234.5	0.991
235.0	0.927
235.5	0.880
236.0	0.864
236.5	0.863
237.0	0.846
237.5	0.846
238.0	0.850
238.5	0.789
239.0	0.760
239.5	0.723
240.0	0.685
240.5	0.671
241.0	0.666
241.5	0.654
242.0	0.669
242.5	0.662
243.0	0.657
243.5	0.634
244.0	0.647
244.5	0.649
245.0	0.632
245.5	0.659
246.0	0.661
246.5	0.669
247.0	0.658
247.5	0.635
248.0	0.640
248.5	0.637
249.0	0.629
249.5	0.651
250.0	0.647
250.5	0.654
251.0	0.618
251.5	0.575
252.0	0.584
252.5	0.568
253.0	0.541
253.5	0.551
254.0	0.579
254.5	0.642
255.0	0.667
255.5	0.663
256.0	0.652
256.5	0.642
257.0	0.644
257.5	0.581
258.0	0.512
258.5	0.516
259.0	0.521
259.5	0.528
260.0	0.547
260.5	0.544
261.0	0.554
261.5	0.550
262.0	0.589
262.5	0.591
263.0	0.584
263.5	0.564
264.0	0.556
264.5	0.559
265.0	0.571
265.5	0.593
266.0	0.610
266.5	0.607
267.0	0.607
267.5	0.569
268.0	0.513
268.5	0.417
269.0	0.378
269.5	0.369
270.0	0.395
270.5	0.424
271.0	0.434
271.5	0.452
272.0	0.427
272.5	0.412
273.0	0.337
273.5	0.299
274.0	0.301
274.5	0.313
275.0	0.315
275.5	0.287
276.0	0.289
276.5	0.308
277.0	0.284
277.5	0.287
278.0	0.304
278.5	0.367
279.0	0.384
279.5	0.418
280.0	0.417
280.5	0.399
281.0	0.418
281.5	0.408
282.0	0.389
282.5	0.361
283.0	0.351
283.5	0.353
284.0	0.342
284.5	0.359
285.0	0.348
285.5	0.361
286.0	0.409
286.5	0.396
287.0	0.414
287.5	0.414
288.0	0.390
288.5	0.378
289.0	0.374
289.5	0.323
290.0	0.295
290.5	0.291
291.0	0.310
291.5	0.316
292.0	0.382
292.5	0.432
293.0	0.451
293.5	0.469
294.0	0.483
294.5	0.466
295.0	0.431
295.5	0.414
296.0	0.394
296.5	0.351
297.0	0.344
297.5	0.336
298.0	0.298
298.5	0.220
299.0	0.202
299.5	0.182
300.0	0.140
300.5	0.171
301.0	0.199
301.5	0.249
302.0	0.296
302.5	0.328
303.0	0.304
303.5	0.293
304.0	0.330
304.5	0.304
305.0	0.290
305.5	0.307
306.0	0.292
306.5	0.303
307.0	0.296
307.5	0.282
308.0	0.266
308.5	0.303
309.0	0.303
309.5	0.274
310.0	0.267
310.5	0.282
311.0	0.262
311.5	0.274
312.0	0.298
312.5	0.317
313.0	0.324
313.5	0.332
314.0	0.305
314.5	0.290
315.0	0.294
315.5	0.293
316.0	0.260
316.5	0.275
317.0	0.274
317.5	0.270
318.0	0.264
318.5	0.256
319.0	0.258
319.5	0.253
320.0	0.292
320.5	0.301
321.0	0.323
321.5	0.361
322.0	0.370
322.5	0.368
323.0	0.358
323.5	0.329
324.0	0.302
324.5	0.253
325.0	0.264
325.5	0.266
326.0	0.236
326.5	0.221
327.0	0.238
327.5	0.251
328.0	0.258
328.5	0.251
329.0	0.208
329.5	0.152
330.0	0.152
330.5	0.179
331.0	0.155
331.5	0.144
332.0	0.218
332.5	0.276
333.0	0.286
333.5	0.290
334.0	0.258
334.5	0.234
335.0	0.220
335.5	0.220
336.0	0.169
336.5	0.134
337.0	0.180
337.5	0.165
338.0	0.152
338.5	0.179
339.0	0.248
339.5	0.286
340.0	0.298
340.5	0.330
341.0	0.321
341.5	0.328
342.0	0.352
342.5	0.359
343.0	0.347
343.5	0.364
344.0	0.380
344.5	0.328
345.0	0.296
345.5	0.268
346.0	0.218
346.5	0.207
347.0	0.211
347.5	0.201
348.0	0.176
348.5	0.160
349.0	0.152
349.5	0.142
350.0	0.153
350.5	0.149
351.0	0.151
351.5	0.205
352.0	0.237
352.5	0.241
353.0	0.233
353.5	0.232
354.0	0.266
354.5	0.311
355.0	0.307
355.5	0.320
356.0	0.329
356.5	0.341
357.0	0.346
357.5	0.331
358.0	0.312
358.5	0.282
359.0	0.263
359.5	0.259
360.0	0.232
360.5	0.237
361.0	0.217
361.5	0.182
362.0	0.181
362.5	0.182
363.0	0.212
363.5	0.214
364.0	0.232
364.5	0.231
365.0	0.257
365.5	0.272
366.0	0.271
366.5	0.254
367.0	0.291
367.5	0.309
368.0	0.270
368.5	0.269
369.0	0.248
369.5	0.214
370.0	0.226
370.5	0.231
371.0	0.224
371.5	0.259
372.0	0.286
372.5	0.265
373.0	0.198
373.5	0.210
374.0	0.183
374.5	0.155
375.0	0.179
375.5	0.199
376.0	0.227
376.5	0.238
377.0	0.231
377.5	0.219
378.0	0.210
378.5	0.234
379.0	0.232
379.5	0.215
380.0	0.232
380.5	0.262
381.0	0.294
381.5	0.279
382.0	0.277
382.5	0.242
383.0	0.227
383.5	0.223
384.0	0.228
384.5	0.207
385.0	0.207
385.5	0.257
386.0	0.299
386.5	0.300
387.0	0.342
387.5	0.317
388.0	0.298
388.5	0.265
389.0	0.267
389.5	0.274
390.0	0.254
390.5	0.268
391.0	0.295
391.5	0.280
392.0	0.283
392.5	0.235
393.0	0.224
393.5	0.229
394.0	0.241
394.5	0.270
395.0	0.262
395.5	0.261
396.0	0.282
396.5	0.240
397.0	0.211
397.5	0.171
398.0	0.169
398.5	0.188
399.0	0.187
399.5	0.220
400.0	0.238
400.5	0.221
401.0	0.227
401.5	0.204
402.0	0.199
402.5	0.148
403.0	0.128
403.5	0.155
404.0	0.156
404.5	0.168
405.0	0.161
405.5	0.147
406.0	0.162
406.5	0.147
407.0	0.153
407.5	0.156
408.0	0.186
408.5	0.234
409.0	0.249
409.5	0.247
410.0	0.241
410.5	0.227
411.0	0.224
411.5	0.187
412.0	0.189
412.5	0.217
413.0	0.239
413.5	0.254
414.0	0.244
414.5	0.234
415.0	0.226
415.5	0.225
416.0	0.195
416.5	0.166
417.0	0.168
417.5	0.197
418.0	0.206
418.5	0.223
419.0	0.224
419.5	0.253
420.0	0.253
420.5	0.234
421.0	0.183
421.5	0.153
422.0	0.129
422.5	0.126
423.0	0.128
423.5	0.162
424.0	0.192
424.5	0.216
425.0	0.215
425.5	0.204
426.0	0.180
426.5	0.194
427.0	0.184
427.5	0.199
428.0	0.216
428.5	0.234
429.0	0.209
429.5	0.176
430.0	0.143
430.5	0.115
431.0	0.099
431.5	0.131
432.0	0.149
432.5	0.175
433.0	0.179
433.5	0.200
434.0	0.178
434.5	0.160
435.0	0.156
435.5	0.147
436.0	0.144
436.5	0.144
437.0	0.142
437.5	0.142
438.0	0.143
438.5	0.146
439.0	0.130
439.5	0.132
440.0	0.152
440.5	0.176
441.0	0.191
441.5	0.173
442.0	0.146
442.5	0.145
443.0	0.138
443.5	0.130
444.0	0.127
444.5	0.130
445.0	0.153
445.5	0.210
446.0	0.230
446.5	0.208
447.0	0.182
447.5	0.147
448.0	0.135
448.5	0.130
449.0	0.109
449.5	0.096
450.0	0.098
450.5	0.126
451.0	0.128
451.5	0.137
452.0	0.135
452.5	0.123
453.0	0.148
453.5	0.145
454.0	0.154
454.5	0.155
455.0	0.131
455.5	0.134
456.0	0.147
456.5	0.166
457.0	0.162
457.5	0.148
458.0	0.123
458.5	0.102
459.0	0.114
459.5	0.127
460.0	0.132
460.5	0.168
461.0	0.200
461.5	0.221
462.0	0.235
462.5	0.228
463.0	0.195
463.5	0.175
464.0	0.163
464.5	0.137
465.0	0.140
465.5	0.161
466.0	0.186
466.5	0.201
467.0	0.226
467.5	0.248
468.0	0.267
468.5	0.232
469.0	0.178
469.5	0.112
470.0	0.088
470.5	0.111
471.0	0.122
471.5	0.125
472.0	0.128
472.5	0.148
473.0	0.150
473.5	0.131
474.0	0.118
474.5	0.084
475.0	0.085
475.5	0.141
476.0	0.169
476.5	0.170
477.0	0.173
477.5	0.166
478.0	0.155
478.5	0.174
479.0	0.204
479.5	0.201
480.0	0.215
480.5	0.234
481.0	0.249
481.5	0.242
482.0	0.234
482.5	0.228
483.0	0.229
483.5	0.240
484.0	0.236
484.5	0.218
485.0	0.178
485.5	0.142
486.0	0.147
486.5	0.151
487.0	0.140
487.5	0.167
488.0	0.187
488.5	0.203
489.0	0.206
489.5	0.202
490.0	0.174
490.5	0.159
491.0	0.173
491.5	0.179
492.0	0.166
492.5	0.181
493.0	0.187
493.5	0.177
494.0	0.155
494.5	0.132
495.0	0.102
495.5	0.098
496.0	0.098
496.5	0.118
497.0	0.136
497.5	0.150
498.0	0.181
498.5	0.180
499.0	0.184
499.5	0.181
500.0	0.158
500.5	0.139
501.0	0.137
501.5	0.143
502.0	0.119
502.5	0.073
503.0	0.082
503.5	0.103
504.0	0.137
504.5	0.139
505.0	0.155
505.5	0.187
506.0	0.236
506.5	0.247
507.0	0.202
507.5	0.183
508.0	0.220
508.5	0.246
509.0	0.285
509.5	0.285
510.0	0.268
510.5	0.259
511.0	0.248
511.5	0.226
512.0	0.187
512.5	0.150
513.0	0.175
513.5	0.210
514.0	0.235
514.5	0.242
515.0	0.229
515.5	0.221
516.0	0.231
516.5	0.241
517.0	0.225
517.5	0.166
518.0	0.159
518.5	0.138
519.0	0.121
519.5	0.123
520.0	0.139
520.5	0.170
521.0	0.200
521.5	0.223
522.0	0.256
522.5	0.245
523.0	0.234
523.5	0.218
524.0	0.235
524.5	0.235
525.0	0.237
525.5	0.268
526.0	0.270
526.5	0.272
527.0	0.263
527.5	0.247
528.0	0.215
528.5	0.181
529.0	0.151
529.5	0.123
530.0	0.084
530.5	0.092
531.0	0.108
531.5	0.140
532.0	0.151
532.5	0.159
533.0	0.152
533.5	0.140
534.0	0.148
534.5	0.168
535.0	0.149
535.5	0.143
536.0	0.170
536.5	0.169
537.0	0.148
537.5	0.140
538.0	0.128
538.5	0.171
539.0	0.229
539.5	0.266
540.0	0.243
540.5	0.243
541.0	0.248
541.5	0.219
542.0	0.196
542.5	0.182
543.0	0.185
543.5	0.218
544.0	0.254
544.5	0.248
545.0	0.239
545.5	0.248
546.0	0.279
546.5	0.306
547.0	0.306
547.5	0.271
548.0	0.241
548.5	0.217
549.0	0.215
549.5	0.197
550.0	0.215
550.5	0.254
551.0	0.266
551.5	0.283
552.0	0.233
552.5	0.161
553.0	0.137
553.5	0.136
554.0	0.142
554.5	0.146
555.0	0.200
555.5	0.215
556.0	0.169
556.5	0.125
557.0	0.100
557.5	0.079
558.0	0.145
558.5	0.167
559.0	0.151
559.5	0.147
560.0	0.149
560.5	0.086
561.0	0.034
561.5	0.025
562.0	0.081
562.5	0.103
563.0	0.180
563.5	0.199
564.0	0.181
564.5	0.170
565.0	0.168
565.5	0.149
566.0	0.163
566.5	0.187
567.0	0.187
567.5	0.137
568.0	0.115
568.5	0.091
569.0	0.080
569.5	0.065
570.0	0.133
570.5	0.196
571.0	0.216
571.5	0.238
572.0	0.226
572.5	0.188
573.0	0.187
573.5	0.181
574.0	0.215
574.5	0.238
575.0	0.286
575.5	0.278
576.0	0.213
576.5	0.178
577.0	0.127
577.5	0.075
578.0	0.071
578.5	0.076
579.0	0.114
579.5	0.153
580.0	0.185
580.5	0.197
581.0	0.171
581.5	0.185
582.0	0.191
582.5	0.181
583.0	0.205
583.5	0.201
584.0	0.200
584.5	0.206
585.0	0.210
585.5	0.203
586.0	0.170
586.5	0.147
587.0	0.125
587.5	0.106
588.0	0.113
588.5	0.147
589.0	0.164
589.5	0.196
590.0	0.199
590.5	0.215
591.0	0.221
591.5	0.189
592.0	0.144
592.5	0.130
593.0	0.135
593.5	0.187
594.0	0.210
594.5	0.226
595.0	0.206
595.5	0.233
596.0	0.241
596.5	0.216
597.0	0.182
597.5	0.143
598.0	0.130
598.5	0.144
599.0	0.151
599.5	0.124
600.0	0.118
600.5	0.143
601.0	0.141
601.5	0.162
602.0	0.173
602.5	0.182
603.0	0.230
603.5	0.286
604.0	0.289
604.5	0.267
605.0	0.278
605.5	0.257
606.0	0.261
606.5	0.339
607.0	0.403
607.5	0.424
608.0	0.436
608.5	0.405
609.0	0.346
609.5	0.261
610.0	0.197
610.5	0.142
611.0	0.143
611.5	0.192
612.0	0.213
612.5	0.224
613.0	0.243
613.5	0.249
614.0	0.214
614.5	0.155
615.0	0.108
615.5	0.138
616.0	0.146
616.5	0.204
617.0	0.258
617.5	0.308
618.0	0.379
618.5	0.406
619.0	0.339
619.5	0.262
620.0	0.180
620.5	0.119
621.0	0.048
621.5	0.056
622.0	0.098
622.5	0.111
623.0	0.153
623.5	0.174
624.0	0.184
624.5	0.213
625.0	0.231
625.5	0.214
626.0	0.154
626.5	0.152
627.0	0.143
627.5	0.137
628.0	0.125
628.5	0.145
629.0	0.191
629.5	0.206
630.0	0.230
630.5	0.250
631.0	0.252
631.5	0.263
632.0	0.258
632.5	0.248
633.0	0.259
633.5	0.298
634.0	0.314
634.5	0.248
635.0	0.181
635.5	0.142
636.0	0.125
636.5	0.068
637.0	0.002
637.5	-0.021
638.0	0.021
638.5	0.056
639.0	0.093
639.5	0.086
640.0	0.083
640.5	0.130
641.0	0.174
641.5	0.201
642.0	0.196
642.5	0.204
643.0	0.218
643.5	0.217
644.0	0.237
644.5	0.227
645.0	0.229
645.5	0.222
646.0	0.191
646.5	0.193
647.0	0.185
647.5	0.181
648.0	0.231
648.5	0.305
649.0	0.339
649.5	0.347
650.0	0.352
650.5	0.369
651.0	0.334
651.5	0.351
652.0	0.389
652.5	0.392
653.0	0.345
653.5	0.310
654.0	0.233
654.5	0.212
655.0	0.167
655.5	0.130
656.0	0.115
656.5	0.155
657.0	0.171
657.5	0.142
658.0	0.100
658.5	0.116
659.0	0.109
659.5	0.129
660.0	0.149
660.5	0.207
661.0	0.244
661.5	0.268
662.0	0.291
662.5	0.317
663.0	0.362
663.5	0.362
664.0	0.304
664.5	0.280
665.0	0.250
665.5	0.223
666.0	0.138
666.5	0.109
667.0	0.100
667.5	0.055
668.0	0.100
668.5	0.147
669.0	0.152
669.5	0.174
670.0	0.164
670.5	0.170
671.0	0.232
671.5	0.296
672.0	0.350
672.5	0.448
673.0	0.566
673.5	0.571
674.0	0.497
674.5	0.398
675.0	0.303
675.5	0.271
676.0	0.211
676.5	0.174
677.0	0.219
677.5	0.308
678.0	0.351
678.5	0.336
679.0	0.317
679.5	0.301
680.0	0.301
680.5	0.279
681.0	0.214
681.5	0.151
682.0	0.135
682.5	0.162
683.0	0.206
683.5	0.224
684.0	0.306
684.5	0.414
685.0	0.474
685.5	0.463
686.0	0.478
686.5	0.466
687.0	0.453
687.5	0.442
688.0	0.344
688.5	0.299
689.0	0.261
689.5	0.251
690.0	0.238
690.5	0.198
691.0	0.197
691.5	0.256
692.0	0.285
692.5	0.296
693.0	0.283
693.5	0.276
694.0	0.213
694.5	0.188
695.0	0.181
695.5	0.106
696.0	0.111
696.5	0.128
697.0	0.141
697.5	0.120
698.0	0.113
698.5	0.132
699.0	0.129
699.5	0.147
700.0	0.193
700.5	0.245
701.0	0.367
701.5	0.428
702.0	0.469
702.5	0.385
703.0	0.296
703.5	0.191
704.0	0.080
704.5	-0.045
705.0	-0.081
705.5	-0.037
706.0	0.063
706.5	0.156
707.0	0.260
707.5	0.302
708.0	0.376
708.5	0.400
709.0	0.412
709.5	0.382
710.0	0.349
710.5	0.383
711.0	0.360
711.5	0.286
712.0	0.260
712.5	0.240
713.0	0.261
713.5	0.251
714.0	0.183
714.5	0.106
715.0	0.046
715.5	0.036
716.0	0.001
716.5	-0.072
717.0	-0.018
717.5	0.048
718.0	0.112
718.5	0.168
719.0	0.180
719.5	0.196
720.0	0.186
720.5	0.161
721.0	0.139
721.5	0.105
722.0	0.145
722.5	0.182
723.0	0.167
723.5	0.203
724.0	0.251
724.5	0.327
725.0	0.311
725.5	0.344
726.0	0.374
726.5	0.406
727.0	0.441
727.5	0.468
728.0	0.431
728.5	0.375
729.0	0.309
729.5	0.243
730.0	0.149
730.5	0.148
731.0	0.112
731.5	0.052
732.0	0.083
732.5	0.077
733.0	0.083
733.5	0.084
734.0	0.100
734.5	0.103
735.0	0.122
735.5	0.151
736.0	0.116
736.5	0.075
737.0	0.086
737.5	0.038
738.0	0.035
738.5	0.054
739.0	0.062
739.5	0.060
740.0	0.100
740.5	0.129
741.0	0.126
741.5	0.164
742.0	0.182
742.5	0.182
743.0	0.175
743.5	0.156
744.0	0.132
744.5	0.146
745.0	0.169
745.5	0.186
746.0	0.163
746.5	0.153
747.0	0.214
747.5	0.314
748.0	0.411
748.5	0.413
749.0	0.392
749.5	0.351
750.0	0.216
750.5	0.149
751.0	0.078
751.5	0.048
752.0	0.123
752.5	0.220
753.0	0.300
753.5	0.225
754.0	0.107
754.5	-0.056
755.0	-0.181
755.5	-0.157
756.0	-0.106
756.5	-0.078
757.0	0.042
757.5	0.172
758.0	0.318
758.5	0.326
759.0	0.248
759.5	0.119
760.0	0.066
760.5	-0.024
761.0	-0.161
761.5	-0.260
762.0	-0.189
762.5	-0.171
763.0	-0.116
763.5	-0.044
764.0	-0.009
764.5	-0.024
765.0	-0.017
765.5	-0.088
766.0	-0.158
766.5	-0.171
767.0	-0.095
767.5	-0.116
768.0	-0.058
768.5	0.066
769.0	0.194
769.5	0.259
770.0	0.288
770.5	0.342
