Time;Wavelength ;Absorbance;;
0;190;17.67;;
0;205;11.19;;
0;220;4.81;;
0;235;0.93;;
0;250;0.65;;
0;265;0.57;;
0;280;0.42;;
0;295;0.43;;
0;310;0.27;;
0;325;0.26;;
0;340;0.3;;
0;355;0.31;;
0;370;0.23;;
0;385;0.21;;
0;405;0.16;;
0;415;0.23;;
0;430;0.14;;
0;450;0.1;;
0;460;0.13;;
0;475;0.08;;
0;492;0.17;;
0;505;0.15;;
0;520;0.14;;
0;535;0.15;;
0;550;0.22;;
0;565;0.17;;
0;580;0.18;;
0;595;0.21;;
0;610;0.2;;
0;625;0.23;;
0;640;0.08;;
0;655;0.17;;
0;670;0.16;;
0;685;0.47;;
0;700;0.19;;
0;715;0.05;;
0;730;0.15;;
0;745;0.17;;
0;760;0.07;;
0;850;-0.21;;
5;190;17.15;;
5;205;10.91;;
5;220;4.58;;
5;235;0.9;;
5;250;0.52;;
5;265;0.42;;
5;280;0.32;;
5;295;0.33;;
5;310;0.24;;
5;325;0.27;;
5;340;0.29;;
5;355;0.24;;
5;370;0.28;;
5;385;0.25;;
5;405;0.24;;
5;415;0.23;;
5;430;0.15;;
5;450;0.13;;
5;460;0.17;;
5;475;0.12;;
5;492;0.22;;
5;505;0.16;;
5;520;0.22;;
5;535;0.1;;
5;550;0.27;;
5;565;0.13;;
5;580;0.16;;
5;595;0.26;;
5;610;0.21;;
5;625;0.24;;
5;640;0.15;;
5;655;0.19;;
5;670;0.35;;
5;685;0.37;;
5;700;0.31;;
5;715;0.04;;
5;730;0.28;;
5;745;0.24;;
5;760;0.22;;
5;850;0.06;;
10;190;17.99;;
10;205;11.1;;
10;220;4.93;;
10;235;1.2;;
10;250;0.87;;
10;265;0.76;;
10;280;0.52;;
10;295;0.44;;
10;310;0.5;;
10;325;0.54;;
10;340;0.64;;
10;355;0.53;;
10;370;0.59;;
10;385;0.61;;
10;405;0.43;;
10;415;0.56;;
10;430;0.51;;
10;450;0.4;;
10;460;0.37;;
10;475;0.51;;
10;492;0.42;;
10;505;0.5;;
10;520;0.43;;
10;535;0.36;;
10;550;0.56;;
10;565;0.5;;
10;580;0.53;;
10;595;0.53;;
10;610;0.53;;
10;625;0.53;;
10;640;0.38;;
10;655;0.45;;
10;670;0.49;;
10;685;0.66;;
10;700;0.46;;
10;715;0.4;;
10;730;0.54;;
10;745;0.5;;
10;760;0.52;;
10;850;0.31;;
15;190;18.51;;
15;205;11.73;;
15;220;5.27;;
15;235;1.45;;
15;250;1.13;;
15;265;1.17;;
15;280;0.9;;
15;295;0.79;;
15;310;0.67;;
15;325;0.68;;
15;340;0.82;;
15;355;0.72;;
15;370;0.67;;
15;385;0.64;;
15;405;0.51;;
15;415;0.63;;
15;430;0.56;;
15;450;0.46;;
15;460;0.45;;
15;475;0.56;;
15;492;0.46;;
15;505;0.53;;
15;520;0.52;;
15;535;0.43;;
15;550;0.59;;
15;565;0.56;;
15;580;0.6;;
15;595;0.54;;
15;610;0.55;;
15;625;0.62;;
15;640;0.55;;
15;655;0.73;;
15;670;0.53;;
15;685;0.64;;
15;700;0.44;;
15;715;0.47;;
15;730;0.55;;
15;745;0.74;;
15;760;0.75;;
15;850;0.76;;
20;190;16.86;;
20;205;10.59;;
20;220;4.34;;
20;235;0.69;;
20;250;0.3;;
20;265;0.32;;
20;280;0.26;;
20;295;0.31;;
20;310;0.19;;
20;325;0.21;;
20;340;0.23;;
20;355;0.19;;
20;370;0.13;;
20;385;0.15;;
20;405;0.14;;
20;415;0.2;;
20;430;0.17;;
20;450;0.08;;
20;460;0.09;;
20;475;0.14;;
20;492;0.11;;
20;505;0.14;;
20;520;0.14;;
20;535;0.1;;
20;550;0.2;;
20;565;0.13;;
20;580;0.18;;
20;595;0.09;;
20;610;0.26;;
20;625;0.15;;
20;640;-0.08;;
20;655;0.12;;
20;670;0.17;;
20;685;0.33;;
20;700;0.15;;
20;715;0.06;;
20;730;0.19;;
20;745;0.17;;
20;760;0.23;;
20;850;-0.13;;
25;190;17.43;;
25;205;11.22;;
25;220;4.75;;
25;235;1.06;;
25;250;0.65;;
25;265;0.72;;
25;280;0.5;;
25;295;0.41;;
25;310;0.34;;
25;325;0.31;;
25;340;0.34;;
25;355;0.28;;
25;370;0.27;;
25;385;0.25;;
25;405;0.24;;
25;415;0.31;;
25;430;0.21;;
25;450;0.18;;
25;460;0.18;;
25;475;0.18;;
25;492;0.23;;
25;505;0.18;;
25;520;0.23;;
25;535;0.19;;
25;550;0.29;;
25;565;0.21;;
25;580;0.2;;
25;595;0.23;;
25;610;0.36;;
25;625;0.25;;
25;640;0.06;;
25;655;0.17;;
25;670;0.34;;
25;685;0.43;;
25;700;0.31;;
25;715;0.14;;
25;730;0.26;;
25;745;0.29;;
25;760;0.32;;
25;850;0.28;;
30;190;17.27;;
30;205;11.15;;
30;220;4.71;;
30;235;0.88;;
30;250;0.64;;
30;265;0.47;;
30;280;0.4;;
30;295;0.38;;
30;310;0.27;;
30;325;0.35;;
30;340;0.32;;
30;355;0.26;;
30;370;0.26;;
30;385;0.36;;
30;405;0.24;;
30;415;0.3;;
30;430;0.26;;
30;450;0.24;;
30;460;0.24;;
30;475;0.18;;
30;492;0.25;;
30;505;0.27;;
30;520;0.28;;
30;535;0.23;;
30;550;0.29;;
30;565;0.26;;
30;580;0.21;;
30;595;0.19;;
30;610;0.35;;
30;625;0.29;;
30;640;0.18;;
30;655;0.23;;
30;670;0.28;;
30;685;0.18;;
30;700;0.31;;
30;715;0.16;;
30;730;0.15;;
30;745;0.28;;
30;760;0.41;;
